contract_id,customer,effective_date,term_months,sla_uptime_pct,response_time_hours,monthly_value_usd,renewal_risk,obligation_count,violation_count,duplicate_marker
96ac9c14-001d-42fc-99b7-e9f2e3e8123e,Vertex Legal,2025-12-25,12,99.0,2,82172.71,0.412,31,0,
11aef2d4-aa00-4fa3-bc2c-f84e3f910364,Summit Manufacturing,2024-06-22,36,99.5,8,102860.76,0.705,11,3,
60bc0f52-4079-4625-98bc-410440ea9f98,Northwind Health,2025-06-09,48,98.0,2,48130.56,0.917,21,0,
a5c52286-b4fe-43e7-84f2-df559ff65b8e,CivicGrid Utilities,2025-03-20,12,97.5,4,44020.41,0.149,29,0,
2b30bcca-3827-4383-beb8-4e3297ead648,Northwind Health,2024-10-15,48,98.0,4,7495.8,0.028,44,0,
ff2cb889-e693-40ae-bebf-1f2fdd13fa9b,Meridian Insurance,2025-06-04,36,98.0,4,55552.75,0.687,23,0,
a54ce533-6e0c-40cd-8e5b-787a78fec114,Arbor Pharma,2025-12-17,48,99.0,4,6438.02,0.181,43,0,
8871c7ba-d72b-45ee-82e2-75f07606ba5c,Aster Financial,2024-10-12,60,98.0,8,38054.28,0.307,40,0,
ba9fdce7-b07d-4fb4-b6c0-eda1d18f6fcc,Northwind Health,2024-06-07,12,98.0,24,51922.06,0.977,13,0,
8a898201-ef0b-4ff1-a108-916ac15eedc2,BluePeak Retail,2026-02-19,12,98.0,2,40361.83,0.745,31,0,
b5e0c72f-4ebd-4dd5-bea8-d49fe07f4a4c,CivicGrid Utilities,2024-08-08,36,97.5,2,113105.41,0.961,20,0,
e52b16a7-b98a-4e4c-8db6-b45787659dfa,Meridian Insurance,2024-01-24,36,99.0,2,22393.01,0.626,27,2,
71a78fd8-0ff8-4a18-a157-ac15b7808bb5,Cobalt Media,2025-07-08,24,99.0,8,60979.06,0.733,30,5,
834d2c6c-cd07-4be1-87dd-1ff45f1bbd26,Atlas Education,2025-10-05,36,98.0,8,107004.16,0.322,15,0,
d8e5c7bf-ff53-4002-aef5-1ab0be749ac4,BluePeak Retail,2025-05-26,12,97.5,8,38190.56,0.068,40,3,
5d07ca01-c884-4cf2-bce4-88470bc46e5f,CivicGrid Utilities,2026-04-25,36,99.0,8,62815.22,0.577,31,2,
051ed03f-02a4-4ebc-900c-4c973dcc646a,Northwind Health,2025-10-21,48,98.0,4,68589.12,0.699,25,0,
aa869028-ae17-4145-ade8-84513c5f4f50,Helio Energy,2024-07-26,48,99.0,4,90432.71,0.374,11,0,
103cf4a3-db18-478f-9c23-a361a405dc53,CivicGrid Utilities,2026-04-05,12,99.0,24,27969.53,0.355,8,0,
9cc33b25-4413-458b-b6ad-1c14cad67b84,Helio Energy,2025-10-20,48,97.5,24,122411.58,0.051,34,3,
5814d224-77fe-4685-93c7-9e6860353770,CivicGrid Utilities,2025-10-28,12,99.0,8,53055.06,0.865,22,0,
00da25bd-4389-424e-8f00-333eabd5bc10,Arbor Pharma,2025-09-06,24,97.5,2,101197.26,0.622,8,1,
00245b1a-dde9-411e-af34-f5f86168d537,Helio Energy,2024-07-24,12,98.0,24,24714.7,0.127,40,0,
