customer_id,customer,industry,region,fleet_size,annual_contract_value,ticket_count_90d,usage_trend,support_sentiment,contract_age_months,churn_probability,duplicate_marker
526fabb3-b9b1-4bb1-894b-bd34b34f3ed1,Arbor Pharma,retail,EU-Central,1430,3841258.12,5,-0.393,-0.089,30,0.211,
3e9b1954-f5a0-4cd1-b221-68e430e24507,Helio Energy,public_sector,US-West,716,139194.78,38,0.548,-0.496,58,0.254,
260abc1d-3d14-43a3-9676-49192a83d215,Pioneer Logistics,legal,APAC-South,25,5365362.95,66,0.082,0.284,20,0.5,
f02fe1ec-d09f-40a7-9309-938f02f476f2,Arbor Pharma,manufacturing,EU-Central,37,1336052.52,81,-0.434,0.062,28,0.433,
a1446324-e254-4374-98a4-35f46f5350aa,Arbor Pharma,finance,LATAM,744,3647939.44,104,0.247,-0.801,35,0.206,
47a2de2e-ded0-45fe-aa4a-8ff2edbc1472,Pioneer Logistics,retail,EU-Central,528,1694732.46,7,0.16,0.886,15,0.464,
604106de-448e-4cbf-a4d4-b6b7cdb03e9d,Northwind Health,finance,EU-Central,284,2445700.35,88,-0.354,0.876,39,0.35,
837b8c2d-4e52-4410-94bf-ac89c90c65d4,Helio Energy,manufacturing,EU-Central,867,2963346.93,122,0.469,0.428,30,0.23,
4ec19d4a-3ba5-440c-91bb-b883127467ca,Vertex Legal,retail,US-West,1320,4666855.38,73,-0.049,0.575,63,0.259,
1657e783-c456-4de4-af1e-2d6bdde30aeb,Atlas Education,healthcare,US-East,36,1594480.39,81,0.283,0.489,44,0.074,
9e23dc51-7459-4caa-9dc6-b574d9cb0561,Arbor Pharma,legal,LATAM,894,47719.07,39,-0.17,0.224,64,0.498,
955029fe-212a-4942-af9b-f0f14a7c8eb7,Vertex Legal,retail,LATAM,696,2115426.88,49,0.299,-0.762,31,0.329,
56b6817a-10d2-469d-987b-ae129c6f9a1f,CivicGrid Utilities,legal,APAC-South,894,5223927.3,84,0.613,-0.786,70,0.238,
5db4acbc-6cb7-477d-b54d-fcf9bb392a19,Pioneer Logistics,finance,LATAM,751,1437346.11,109,0.214,0.41,6,0.128,
3d6d3fcc-ed27-4af4-8846-7c5fcaa4157e,Summit Manufacturing,healthcare,LATAM,1322,1155563.25,2,-0.136,0.676,17,0.034,
