conversation_id,timestamp,customer,channel,intent,turn_count,sentiment,contains_pii,resolved,transcript_excerpt,duplicate_marker
12d4d66a-36c7-4f80-8d5d-eb2762b4c330,2025-05-13T23:46:20,Helio Energy,chat,how_to,24,0.925,False,True,toner depleted,
5908e439-41ef-4a65-9fc0-1cc9ee949c71,2025-09-25T03:15:45,BluePeak Retail,email,troubleshoot,23,-0.414,True,True,contract question,
d9a23b3d-dec1-4c71-8c28-c32251d41b6c,2025-07-19T14:45:13,Pioneer Logistics,phone,how_to,19,-0.344,False,False,need invoice copy,
361e9dce-01a0-4aae-bb34-97dae79ee324,2025-01-21T15:03:47,BluePeak Retail,portal,setup,22,-0.706,False,True,device shows fault code,
474c533d-4c91-4603-ba5b-4244b57bb7cb,2025-12-31T09:13:16,Atlas Education,chat,billing,2,0.605,False,True,toner depleted,
e68b1a62-32d3-4973-ba1b-37c88d7ff7c0,2025-10-04T17:45:40,Northwind Health,portal,escalation,4,0.69,False,True,toner depleted,
f7732fac-73d0-43f6-a154-6ae99ea3fac6,2026-01-03T13:09:57,Arbor Pharma,email,how_to,11,-0.963,True,False,contract question,
7ea4343c-30c6-4628-93ec-6398b70a300d,2024-05-11T12:49:11,Helio Energy,portal,escalation,7,-0.32,False,True,device shows fault code,
197a4bfa-352f-4e5b-8dec-2be5ad66da98,2025-09-18T05:20:13,Cobalt Media,phone,how_to,21,-0.539,False,True,contract question,
0ee911ac-10d9-4d3a-b28b-e064ceeda785,2025-08-10T19:33:28,Northwind Health,portal,how_to,7,-0.946,False,True,toner depleted,
10b54f4e-a5a5-4c56-af14-4731566f5d86,2024-07-15T19:48:53,Vertex Legal,phone,setup,13,0.476,False,True,toner depleted,
a0935898-82b0-4308-ac9d-489b3fb82632,2024-08-08T09:16:37,Pioneer Logistics,portal,escalation,13,-0.783,False,True,need invoice copy,
cc490651-1c22-498d-8c42-cff9dc010651,2025-01-11T03:06:16,Aster Financial,phone,troubleshoot,16,0.703,False,True,contract question,
c8e2eeb7-98fc-4da3-84f5-33209f27c9a6,2024-10-01T15:53:11,Vertex Legal,chat,how_to,17,0.258,False,True,contract question,
2cb1f4a0-8eb0-4eb7-8bf2-6b822315e308,2026-02-25T08:27:44,Atlas Education,chat,escalation,21,-0.179,False,False,need invoice copy,
dbe6be73-5610-47e7-8eb8-0c64d9d0abe1,2024-02-23T22:52:12,CivicGrid Utilities,portal,billing,17,-0.774,True,True,toner depleted,
