invoice_id,timestamp,customer,amount_usd,currency,ocr_confidence,exception_type,approval_cycle_hours,fraud_score,duplicate_marker
69ad8bd2-777b-409a-9c18-0ea400bd9901,2026-01-24T00:54:20,Pioneer Logistics,12180.72,GBP,0.872,none,28.7,0.05,
1aaa8a83-6b19-4b73-82ba-3a3dfd066197,2026-01-29T22:47:31,Helio Energy,20341.59,EUR,0.926,vendor_mismatch,45.67,0.031,
8225ab6c-6637-461d-8fba-7496f1751cfc,2024-07-10T22:25:27,Vertex Legal,5712.26,GBP,0.809,tax_mismatch,38.91,0.127,
3d585bfa-4abb-4af3-a331-fbff409c2a01,2024-07-15T11:58:54,Aster Financial,13786.02,INR,0.924,duplicate,32.08,0.08,
6b0c784e-13ea-429c-919c-39b8897e92a8,2024-01-06T07:12:45,Helio Energy,2933.64,INR,0.79,duplicate,45.37,0.092,
9fbbc36a-75e5-47f5-8709-69012057e5f6,2025-01-17T01:56:29,BluePeak Retail,14548.81,USD,0.771,none,25.83,0.224,
44fefd61-4199-4825-95da-1b41870c31c0,2024-09-26T09:29:11,Summit Manufacturing,9574.45,INR,0.848,none,25.79,0.04,
139b2a24-e22c-4689-ae36-d44823ed519f,2024-04-28T20:00:32,Summit Manufacturing,6916.94,EUR,0.914,missing_po,57.84,0.194,
342d6c4c-d2ad-4535-aa3e-9c4feafd648d,2026-01-11T11:06:33,BluePeak Retail,8535.54,GBP,0.852,duplicate,10.54,0.101,
98e4b436-a156-4b8e-be22-697592cbc015,2025-01-13T04:25:19,Northwind Health,5418.8,EUR,0.915,vendor_mismatch,60.91,0.003,
f3c656c8-dbfc-4ec0-a8c6-b3d9b699c319,2026-02-21T13:37:12,Atlas Education,7867.13,GBP,0.886,duplicate,54.52,0.012,
67604fa5-f0f5-449a-bf8c-a05d459caea0,2024-12-14T07:50:58,Vertex Legal,25,USD,0.893,tax_mismatch,76.66,0.09,
c7b42fe3-a2d1-44f4-b8c4-3620ba4e1679,2024-12-05T08:37:19,Northwind Health,7599.92,USD,0.731,none,72.43,0.205,
5d34a334-6201-4749-86a7-b0ea9e8f617c,2025-04-08T02:41:33,Atlas Education,16163.79,INR,0.984,missing_po,101.39,0.046,
26a6a509-86a6-4ba0-ac66-05b7061aa689,2024-06-16T10:00:58,Pioneer Logistics,7234.53,GBP,0.913,none,34.43,0.009,
1dd0b6f6-28e1-4c6b-91b8-56ba1603509f,2025-02-02T16:16:47,CivicGrid Utilities,15978.36,INR,0.785,missing_po,100.91,0.05,
1edc3172-1f97-4059-954f-68ad625b3acf,2026-01-06T18:12:29,CivicGrid Utilities,11782.83,GBP,0.815,tax_mismatch,81.51,0.063,
ee6a6618-1107-4117-beb7-f2b86912e0a1,2024-07-02T12:55:21,BluePeak Retail,8311.44,INR,0.832,vendor_mismatch,38.64,0.113,
48787f7e-0be5-4283-bb06-360f78917188,2024-10-16T19:57:14,Arbor Pharma,15482.41,EUR,0.937,none,40.67,0.176,
342680eb-36dd-4574-8570-0a316eea792a,2025-08-19T02:51:34,Arbor Pharma,3958.18,USD,0.859,tax_mismatch,34.37,0.044,
14dfcc66-e47e-4357-9446-d86c81e0635a,2024-03-08T14:52:35,Northwind Health,25,USD,0.928,duplicate,41.85,0.003,
50bcbdf4-c7c9-4d5b-8c58-5b2d3c206c8f,2025-11-06T15:39:25,CivicGrid Utilities,13026.8,USD,0.982,vendor_mismatch,115.67,0.04,
18d2fed9-d58a-477a-846f-6de5c87ee0ff,2025-06-29T07:08:24,BluePeak Retail,7748.95,USD,0.859,vendor_mismatch,37.41,0.036,
f566df5d-7bc5-4411-9105-0c4f18f91bdf,2024-09-17T22:50:32,BluePeak Retail,10953.29,EUR,0.9,none,31.06,0.163,
0dcfe216-ed41-4f1a-9a4c-41425b94ec4e,2024-03-25T09:13:53,Arbor Pharma,25,EUR,0.785,none,26.58,0.108,
9fadae92-cfd1-4045-b2da-6882ece9ff6a,2024-08-22T01:42:37,Cobalt Media,10031.35,USD,0.847,vendor_mismatch,84.24,0.149,
c7d0ba50-900f-47e8-8bd9-467b4b86a156,2025-05-14T00:13:20,BluePeak Retail,9458.07,EUR,0.901,vendor_mismatch,19.35,0.127,
796b6b67-9ce9-47a5-865e-38f24be2882c,2024-02-25T16:08:29,BluePeak Retail,9238.3,GBP,0.885,tax_mismatch,28.17,0.124,
