maintenance_id,timestamp,device_id,technician_id,maintenance_type,parts_replaced,downtime_minutes,cost_usd,maintenance_history_score,notes,duplicate_marker
ca042a03-8a69-42e4-8ff9-4c366607b738,2025-06-04T21:12:42,XRX-100000,TECH-137,firmware,toner sensor,38,279.37,0.975,follow up required,
6d1f6fe2-f671-4a27-b42f-169996221e5b,2025-03-08T06:21:09,XRX-100001,TECH-167,corrective,ADF motor,21,136.29,0.301,remote fix applied,
c90f5aa4-fab9-4e27-8ff5-724f690c44c0,2024-12-05T16:58:15,XRX-100002,TECH-220,firmware,transfer belt,92,201.07,0.765,customer unavailable,
1074f425-a9a2-43dd-a9f7-3ee0c568957b,2025-05-06T04:13:14,XRX-100003,TECH-109,corrective,ADF motor,93,524.24,0.288,device aging,
3c7bef7d-31d3-42b5-93f1-339acdf2d7ba,2024-03-06T15:48:28,XRX-100004,TECH-188,calibration,roller kit,0,28.72,0.472,device aging,
5d749235-ba88-4772-9974-eb2ed98faec3,2025-08-29T23:44:32,XRX-100005,TECH-188,preventive,fuser,126,544.67,0.227,resolved,
a563b97c-a2f6-4fb4-86e2-37cf44e817f7,2025-06-28T05:36:25,XRX-100006,TECH-128,preventive,roller kit,81,475.96,0.347,resolved,
75eb0d87-4832-4a7c-b54a-29f7567707f5,2024-11-04T09:01:18,XRX-100007,TECH-238,firmware,transfer belt,84,113.33,0.709,customer unavailable,
089bc3eb-71eb-406c-adc8-34fd1954d5a6,2025-03-04T09:33:50,XRX-100008,TECH-131,corrective,roller kit,43,423.92,0.404,device aging,
c3f1f6cf-1078-479f-a3b3-0efcf86d3646,2024-04-29T13:58:29,XRX-100009,TECH-229,preventive,fuser,114,540.1,0.309,remote fix applied,
3e5d6a42-2ec1-4bea-8737-5376ab53c9fc,2024-04-05T15:09:33,XRX-100010,TECH-254,firmware,transfer belt,54,389.22,0.951,resolved,
d9682329-9d5a-4f57-8706-e1688df9baf3,2026-02-01T23:54:00,XRX-100011,TECH-184,calibration,ADF motor,100,91.47,0.352,customer unavailable,
3d4012f6-ad84-4dc4-ad1a-ad7af1f79d7d,2025-01-19T16:19:27,XRX-100012,TECH-144,calibration,roller kit,16,404.11,0.493,remote fix applied,
446a5b7b-0dc7-4510-a0e0-9c1ce3732e6b,2025-11-19T20:39:18,XRX-100013,TECH-118,corrective,toner sensor,70,470.27,0.491,device aging,
29103744-2096-44e0-af7e-3e726687b7b8,2024-08-27T12:20:44,XRX-100014,TECH-160,corrective,ADF motor,70,205.11,0.67,resolved,
b0840173-4b95-4f00-b1d1-ed6d1adbb8b3,2024-10-12T05:19:12,XRX-100015,TECH-220,calibration,roller kit,45,247.77,0.951,resolved,
645e7d88-0a80-45dc-b777-e3cd34745d68,2025-09-06T15:59:27,XRX-100016,TECH-118,firmware,roller kit,134,205.88,0.88,customer unavailable,
6284d5ee-6b12-4b75-bbc7-39afd703c7fe,2025-02-09T12:30:43,XRX-100017,TECH-224,preventive,roller kit,43,527.07,0.653,follow up required,
22a5bc35-8b49-482e-87bc-de8c31fb9b44,2025-07-01T23:34:07,XRX-100018,TECH-170,preventive,fuser,9,431.95,0.559,resolved,
343203e9-5ae0-4c3e-8bf8-25b600c9896a,2026-02-24T07:20:11,XRX-100019,TECH-208,firmware,none,48,796.36,0.394,customer unavailable,
7e966d3e-3447-4249-8a00-9369ebf0e53c,2024-10-29T07:05:27,XRX-100020,TECH-157,calibration,toner sensor,54,383.85,0.737,device aging,
c10ea802-134d-4d22-9020-0d09d3481f6d,2024-01-01T21:24:20,XRX-100021,TECH-132,firmware,none,80,778.29,0.563,remote fix applied,
34c0fca3-4ef7-4478-b93f-6b154f9855b9,2025-08-06T06:15:58,XRX-100022,TECH-171,calibration,none,57,252.95,0.827,resolved,
2a4553cc-8619-418e-8a59-c1b6353db198,2024-05-27T23:55:01,XRX-100023,TECH-107,preventive,roller kit,53,484.14,0.513,resolved,
