sku,product_name,category,unit_cost_usd,lead_time_days,supplier_risk,stock_on_hand,reorder_point,active,duplicate_marker
XRX-SKU-00000,Xerox VersaLink B625,device,8668.09,48,0.005,708,110,True,
XRX-SKU-00001,Transfer Belt 001R00613,spare_part,17654.39,14,0.01,723,69,True,
XRX-SKU-00002,Xerox C410,spare_part,12845.82,45,0.038,674,137,True,
XRX-SKU-00003,Xerox B315,service,32.42,59,0.768,500,132,True,
XRX-SKU-00004,Transfer Belt 001R00613,software,6355.77,23,0.329,495,177,True,
XRX-SKU-00005,Xerox B315,software,570.26,50,0.131,56,11,True,
XRX-SKU-00006,Xerox AltaLink C8155,device,13512.71,25,0.372,432,247,True,
XRX-SKU-00007,Xerox AltaLink C8155,service,15855.36,4,0.351,230,200,True,
XRX-SKU-00008,Xerox C410,toner,9169.21,11,0.818,547,202,True,
XRX-SKU-00009,Xerox VersaLink B625,software,4412.23,46,0.652,891,247,True,
XRX-SKU-00010,Xerox VersaLink B625,software,11830.68,34,0.413,244,86,True,
XRX-SKU-00011,Fuser 115R00138,spare_part,6984.79,45,0.016,281,56,True,
XRX-SKU-00012,Fuser 115R00138,toner,5234.57,60,0.318,6,147,True,
XRX-SKU-00013,Xerox B315,spare_part,15793.56,31,0.664,357,49,False,
XRX-SKU-00014,Xerox PrimeLink C9070,spare_part,15336.33,57,0.389,285,105,True,
XRX-SKU-00015,Xerox AltaLink C8155,service,2094.69,44,0.311,56,173,True,
XRX-SKU-00016,Fuser 115R00138,device,2494.4,48,0.91,874,212,True,
XRX-SKU-00017,Fuser 115R00138,device,4745.66,45,0.824,655,230,True,
XRX-SKU-00018,Transfer Belt 001R00613,software,14585.16,12,0.203,487,111,True,
XRX-SKU-00019,Xerox C410,device,2071.07,37,0.39,667,81,True,
XRX-SKU-00020,Transfer Belt 001R00613,software,4272.73,43,0.858,318,246,False,
XRX-SKU-00021,Xerox B315,service,4078.93,44,0.522,275,237,True,
XRX-SKU-00022,Xerox B315,spare_part,1464.64,34,0.717,391,157,True,
XRX-SKU-00023,Xerox AltaLink C8155,software,13037.86,35,0.189,69,60,True,
XRX-SKU-00024,Xerox B315,toner,13273.21,59,0.966,505,73,True,
XRX-SKU-00025,Xerox PrimeLink C9070,toner,14444.82,12,0.5,194,119,True,
XRX-SKU-00026,Xerox C410,spare_part,10715.85,37,0.594,362,110,True,
