security_event_id,timestamp,actor_id,event_type,source_ip,severity,blocked,pii_detected,rag_security_score,duplicate_marker
52ccbe0a-1252-40b9-bf95-70f16cb41e14,2026-05-13T23:07:12,USR-3834,api_token_use,10.18.52.236,high,False,False,0.763,
a19b8eaa-efe9-4247-af6b-88e15519ebf1,2025-01-20T14:44:49,USR-6002,api_token_use,10.3.85.233,high,False,False,0.67,
8185452a-6d94-45b3-a6d0-1d5c004497e8,2026-05-25T12:53:38,USR-8069,export,10.3.74.194,info,False,False,0.92,
64c0d362-884e-4d16-bd51-97edbabb802b,2025-05-22T01:03:28,USR-9248,failed_login,10.18.12.64,low,False,False,0.569,
a6a0f2bf-39d4-413b-8078-b08e0d917a74,2026-02-22T12:07:39,USR-2119,failed_login,10.16.156.65,critical,False,False,0.615,
f561208c-dabb-4892-8320-e8db66e675b5,2025-08-05T18:34:58,USR-9071,login,10.31.79.159,low,False,False,0.622,
2da0377b-a817-4e51-a6f6-10bd27f3461b,2025-04-15T20:04:33,USR-3660,login,10.30.183.192,critical,False,False,0.853,
f21b8637-ab81-4026-9cb1-d19c6fc6243d,2024-06-18T05:44:00,USR-8072,failed_login,10.10.135.8,critical,False,False,0.799,
a222ed91-e846-479d-bd76-a59f36a521e9,2025-02-01T22:59:18,USR-1225,privilege_change,10.7.186.241,critical,False,False,0.739,
3c38fba1-e7ab-4a5d-b08f-d3aff33b42dc,2025-02-25T22:12:03,USR-7560,export,10.33.234.26,low,False,False,0.904,
d21e6c49-0085-4561-8840-95d6ce57fedd,2025-07-20T08:31:54,USR-2535,prompt_injection,10.8.15.11,high,False,False,0.725,
86b272a9-8ed7-4b3a-8d7f-91167366928d,2024-05-15T00:13:42,USR-1053,export,10.36.99.222,critical,False,False,0.866,
f5c9d2fe-2ba4-457d-9b9f-46e59c457132,2024-12-30T18:21:42,USR-7861,export,10.38.45.50,info,False,False,0.766,
57e1d3b3-e153-4975-ab8a-04a80f67f768,2026-03-21T11:11:38,USR-1006,login,10.32.161.66,high,False,False,0.64,
7dec0590-3db8-414b-ba5d-49465171994c,2025-09-02T13:53:45,USR-7414,export,10.9.71.93,low,False,False,0.749,
7c9a9557-30a2-4716-b9a5-ee54c422fab3,2026-03-14T15:16:20,USR-3439,api_token_use,10.14.131.94,low,False,False,0.957,
e0925511-da18-4e21-8310-69a29369b2c0,2024-06-15T00:50:46,USR-9044,prompt_injection,10.8.152.216,medium,False,False,0.687,
c3cee357-70b4-4077-9067-b9a6313645a4,2025-06-06T06:48:12,USR-8450,failed_login,10.6.106.158,low,False,False,0.842,
8d6fc00c-178b-4f12-966e-3e742aeb1ff0,2024-05-22T21:53:01,USR-2873,privilege_change,10.36.107.85,high,True,False,0.615,
f5352100-63d1-4438-ad44-0df02b1bf6b0,2025-12-28T17:56:46,USR-6984,export,10.17.57.224,info,True,False,0.596,
de93d40f-da94-4c70-8644-2fb2b20ec4a5,2026-02-24T02:00:27,USR-3718,export,10.17.155.51,high,False,False,0.925,
df179f95-c574-4978-abc5-472f57a9f184,2024-08-26T15:48:52,USR-5417,login,10.23.143.196,medium,False,False,0.933,
2b9d9740-90ad-4663-b26f-8c0acb9ea9a7,2025-03-07T23:56:56,USR-3263,prompt_injection,10.31.185.75,low,False,False,0.849,
c6f8d21b-9268-49ee-853c-cfd633a0ac02,2024-03-05T06:37:31,USR-6957,prompt_injection,10.18.215.189,high,False,False,0.685,
ac930328-ffc6-4add-992f-eaa735078f62,2025-03-18T23:56:18,USR-1032,api_token_use,10.32.98.178,high,True,False,0.563,
de827792-3231-4c02-af08-e7aba60e9dea,2026-05-28T05:37:18,USR-1531,failed_login,10.5.204.22,medium,False,False,0.942,
65a62728-6ca9-405c-ad09-ab1c8177abba,2025-09-24T23:20:45,USR-7401,failed_login,10.9.180.50,high,False,False,0.887,
