ticket_id,opened_at,customer,device_id,category,priority,sentiment,resolution_hours,sla_met,escalated,summary,duplicate_marker
3d6fe646-0848-4759-83af-7a2b6cda0f33,2024-05-25T09:07:13,CivicGrid Utilities,XRX-100000,software,P4,0.548,3.26,True,False,scan to email broken,
bd445ad3-1436-45de-9b88-768e07ee642c,2026-05-28T13:55:32,Cobalt Media,XRX-100001,configuration,P2,-0.007,21.27,True,False,poor print quality,
06e61474-b3d5-4cad-a4a4-e070d3aec9f0,2025-08-22T11:59:20,Meridian Insurance,XRX-100002,configuration,P2,-0.223,15.38,True,False,paper jam repeats,
246e3149-2f97-486d-9e05-135eb4acd006,2025-02-22T21:30:00,CivicGrid Utilities,XRX-100003,software,P1,0.659,0.42,True,False,driver install failed,
9c654590-3161-423f-b5c3-988b703f5738,2024-01-09T19:13:32,Pioneer Logistics,XRX-100004,configuration,P1,-0.925,25.2,True,False,scan to email broken,
79919017-dbd5-468f-9e66-d19e6a1a89a8,2026-04-20T19:06:44,Cobalt Media,XRX-100005,configuration,P3,0.252,33.07,True,False,scan to email broken,
af261e28-1dca-4e1f-8fd0-c434434fd6d5,2024-12-23T03:25:32,Helio Energy,XRX-100006,hardware,P3,-0.234,16.87,True,False,driver install failed,
5b8ee076-4009-4497-840f-2efdf0c82d8b,2024-02-13T01:51:11,Meridian Insurance,XRX-100007,maintenance,P2,-0.816,19.35,True,False,poor print quality,
6adee8e1-f176-4f67-954c-01709813b53b,2024-06-14T11:33:36,CivicGrid Utilities,XRX-100008,hardware,P2,-0.88,34.24,True,True,scan to email broken,
cb417060-c78c-4b9b-b69a-ba6b21d109eb,2025-03-17T18:35:37,Vertex Legal,XRX-100009,network,P1,0.566,21.55,True,False,driver install failed,
55f336c4-5807-4dcb-ade1-75cd80373892,2024-01-23T06:52:33,Cobalt Media,XRX-100010,network,P3,-0.639,14.39,True,False,paper jam repeats,
1fcd94fc-421f-4ff8-a979-eece56531226,2025-07-23T07:37:45,Cobalt Media,XRX-100011,software,P3,0.522,28.28,True,True,paper jam repeats,
0cb9e299-fa2f-4cbd-9132-01102a056c9d,2025-09-21T09:21:21,Aster Financial,XRX-100012,software,P1,-0.355,14.25,False,False,paper jam repeats,
b547cde7-f3b6-483d-80e7-00b23e4674e4,2024-02-24T18:31:44,Pioneer Logistics,XRX-100013,configuration,P2,0.018,18.19,True,False,scan to email broken,
c44e0412-6189-405d-a904-392adb1f22ff,2024-07-27T18:55:19,Helio Energy,XRX-100014,hardware,P3,0.518,0.2,True,False,driver install failed,
420c5e86-adb2-44c9-aad8-1ee0abc784f8,2025-07-04T16:59:18,CivicGrid Utilities,XRX-100015,network,P1,0.493,11.34,True,False,paper jam repeats,
d294cab4-befe-4703-93f2-693a17e9e568,2024-10-27T08:55:14,Meridian Insurance,XRX-100016,software,P3,-0.943,20.73,True,False,scan to email broken,
9ef783a0-dac4-471d-8a6e-24b84f781347,2024-01-21T02:20:12,Summit Manufacturing,XRX-100017,configuration,P2,-0.134,17.76,False,False,paper jam repeats,
9fb28070-6fae-46ca-9f84-14b91611c27c,2025-07-12T01:28:39,Meridian Insurance,XRX-100018,maintenance,P2,-0.26,6.64,True,False,driver install failed,
62527171-43fc-49e4-b567-1697074ef05f,2026-01-07T16:45:18,Helio Energy,XRX-100019,hardware,P2,0.538,17.01,True,False,poor print quality,
a7a57b56-d183-47de-a0d5-23bb3ea02903,2026-01-27T15:18:06,Vertex Legal,XRX-100020,configuration,P4,-0.626,41.73,True,False,scan to email broken,
537753d8-7e4c-435b-bc25-1ede253e7322,2026-05-17T06:36:28,Summit Manufacturing,XRX-100021,software,P1,-0.602,15.53,True,False,driver install failed,
