warranty_id,device_id,customer,start_date,duration_months,claim_count,claim_cost_usd,coverage_level,expiration_risk,duplicate_marker
0acc76b1-6f91-4cf7-bd8a-a115488b273a,XRX-100000,Summit Manufacturing,2025-03-25,12,5,144.49,premium,0.339,
a7b799c9-e646-4f4f-8b78-104957ccf1c4,XRX-100001,Aster Financial,2024-10-01,48,6,638.92,standard,0.217,
344617c9-3295-466a-a59d-85ba3cc09bc3,XRX-100002,Meridian Insurance,2026-05-31,12,6,1263.59,mission_critical,0.661,
c6fb1f3b-dc55-4dd7-8e75-fce215ad16bb,XRX-100003,Summit Manufacturing,2024-09-09,36,5,215.93,standard,0.749,
7b0daac5-44e2-45ec-b32f-3ed84bd1ab9b,XRX-100004,Aster Financial,2024-02-26,12,6,923.39,standard,0.399,
2af4b62b-416b-4d57-81f1-9141d06f4a4a,XRX-100005,CivicGrid Utilities,2024-03-27,24,4,0,premium,0.874,
e332c96e-6319-4f38-bbe9-00b330483951,XRX-100006,Northwind Health,2025-04-14,24,3,1347.99,premium,0.518,
9f7aa93b-3668-4599-8b24-d27bb3c71d5d,XRX-100007,Atlas Education,2024-10-06,36,6,509.0,mission_critical,0.719,
3250515e-712b-4cc9-a894-2535f8373a0e,XRX-100008,Helio Energy,2025-03-31,48,5,1003.92,mission_critical,0.075,
b1773e6a-0a1c-4114-8d98-a9e224f48355,XRX-100009,Helio Energy,2026-01-04,36,7,918.11,mission_critical,0.127,
f6606b62-07b4-4d1f-ab4f-934f0edb0653,XRX-100010,Arbor Pharma,2024-05-16,24,8,0,standard,0.208,
aae535c3-385d-4568-956d-9c41a07955b9,XRX-100011,Cobalt Media,2026-05-22,36,8,1249.31,mission_critical,0.799,
62d0c3eb-9838-4484-80a8-2e6e27adf0d3,XRX-100012,BluePeak Retail,2025-07-08,12,5,912.7,mission_critical,0.398,
d362113d-6dd8-44fe-8bdb-0ed01aab23ed,XRX-100013,Cobalt Media,2024-06-18,36,5,462.58,premium,0.727,
71dc4035-1b50-459e-a286-0e5d33a2731d,XRX-100014,Atlas Education,2026-03-02,12,1,885.09,mission_critical,0.508,
723b226c-29f9-4f68-bcc6-822e88bfa1b1,XRX-100015,Northwind Health,2024-08-05,36,5,0,standard,0.026,
c5394d46-54cc-4dd4-898d-32f6c0076743,XRX-100016,Helio Energy,2024-09-08,36,5,342.94,premium,0.479,
bfc859ff-dc51-4ccb-86bf-0ee49f2b0d72,XRX-100017,Atlas Education,2025-07-15,48,4,127.18,premium,0.141,
8deb9e0f-284a-4eab-be11-b7df1eb600e3,XRX-100018,Helio Energy,2025-06-15,36,4,330.9,premium,0.022,
d6a4642e-2eea-41cf-af41-96bcb5218992,XRX-100019,Pioneer Logistics,2025-05-31,24,7,1376.38,premium,0.184,
97858d35-2dfe-4e26-b6e0-e336a785c5ce,XRX-100020,Helio Energy,2025-12-21,36,8,606.68,standard,0.332,
efedd5d2-dd04-4126-a8d2-637fdf1e7a97,XRX-100021,Summit Manufacturing,2024-10-26,36,3,0,standard,0.662,
